,Country,Bank,Date,Period,Deposits Market Share,Total Assets Market Share,Loans Market Share,NPLs / Gross Loan Portfolio (GLP),LLR/ NPLs,LLR/GLP,YoY Loan Growth,Regulatory CAR,CAR Headroom,Equity / Assets,OCER (NPLs - LLRs) / Equity,Internal Capital Generation,ROAA,ROAE,Operating Profits / Average Assets,(Savings + Current) / Total Liabilities,Market Funds / Total Liabilities,(Cash and Deposits + Securities) / Total Assets,GLP / Deposits
79,Ecuador,BP BANCODESARROLLO,9/30/19,2019-Q3,0.003787277,0.004231999,0.004886839,0.0,-inf,-0.086963321145417,,,,0.23464268277627623,inf,0.04508028870358503,,,,0.2848464380951179,0.005167969597026355,0.11148091974974542,1.2113339278029236
80,Ecuador,BP AMAZONAS,6/30/21,2021-Q2,0.005513107,0.00523006,0.004186651,0.0,-inf,-0.033618989957895175,0.068694138,,,0.1378032993670381,inf,0.0013964558624877665,0.0002049035372292273,0.0027929117241773634,-0.004558222829006607,0.29261990194323856,0.0,0.148221545728933,0.5860416837626338
81,Ecuador,BP BOLIVARIANO,9/30/19,2019-Q3,0.086902702,0.082323874,0.073785872,0.0,-inf,-0.036169489838302676,,,,0.15340807094177172,inf,0.08491361165423388,,,,0.5651912372736589,0.0,0.2135740129363673,0.7550756224306024
82,Ecuador,BP CAPITAL,9/30/19,2019-Q3,0.000145766,0.00037718,7.99784e-05,0.0,-inf,-0.7371874009246131,,,,0.7199006998677511,inf,-0.1999300131340465,,,,0.3019368097208576,0.0,0.14357413707186545,1.7894517775205074
83,Ecuador,BP AMAZONAS,9/30/21,2021-Q3,0.005288436,0.00505388,0.004278642,0.0,-inf,-0.02605247872190395,0.239213513,,,0.16053665641517437,inf,0.0010010625375265255,0.00016755630410479407,0.0020021250745589896,-0.006271062139404345,0.2951536656085107,0.0,0.11101015601837182,0.6340169561942123
84,Ecuador,BP CITIBANK,9/30/19,2019-Q3,0.015951207,0.01537622,0.010793591,0.0,-inf,-0.08531689127168247,,,,0.18185562385715417,inf,0.14072684997729917,,,,0.8980580412170632,0.0,0.3142982034994949,0.6340929351067901
85,Ecuador,BP COMERCIAL DE MANABI,9/30/19,2019-Q3,0.00113125,0.001181347,0.001018451,0.0,-inf,-0.0844092149349738,,,,0.3432511050363407,inf,0.0055787307700030835,,,,0.765311345517048,0.0,0.11638981248938195,0.8428129262071558
86,Ecuador,BP AMAZONAS,12/31/21,2021-Q4,0.005386996,0.005167743,0.004209479,0.0,-inf,-0.03105347871963551,0.348661217,,,0.18827024873602285,inf,0.005421369974362784,0.001079403674754089,0.01084273994659872,-0.010908692607591324,0.3314526549146083,0.0,0.15253964044255983,0.6131500369154547
87,Ecuador,BP COOPNACIONAL,9/30/19,2019-Q3,0.004597464,0.004249623,0.0032644,0.0,-inf,-0.02567548149359243,,,,0.20980429386638316,inf,0.032349569924961026,,,,0.7168083208683562,0.0,0.20854795611300622,0.6246440688925061
88,Ecuador,BP DELBANK,9/30/19,2019-Q3,0.000559372,0.000752471,0.000744276,0.0,-inf,-0.03875106454649694,,,,0.5199703981851665,inf,0.025214706944995995,,,,0.43014600349077786,0.0,0.22112531704814242,1.1864472163655038
